"Path","Extension","SizeMB","GitHubBlock","FlaggedType","SuggestedAction"
"agents\andrewzh_Absolute_Zero_Reasoner-Coder-3b-Q4_K_M.gguf",".gguf","1840.5","True","True","REMOVE_FROM_GIT_OR_USE_LFS"
"LeeWay-Standards\.venv\Lib\site-packages\imageio_ffmpeg\binaries\ffmpeg-win-x86_64-v7.1.exe",".exe","83.58","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Lib\site-packages\cv2\cv2.pyd",".pyd","71.35","False","False","REVIEW_SIZE"
"LeeWay-Standards\.venv\Lib\site-packages\cv2\opencv_videoio_ffmpeg4130_64.dll",".dll","27.25","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Lib\site-packages\numpy.libs\libscipy_openblas64_-63c857e738469261263c764a36be9436.dll",".dll","19.47","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-server.exe",".exe","15.98","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\public\readmevideo.mp4",".mp4","12.16","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\assets\readmevideo.mp4",".mp4","12.16","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-cli.exe",".exe","8.72","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-perplexity.exe",".exe","6.87","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-tts.exe",".exe","6.85","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-imatrix.exe",".exe","6.83","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-completion.exe",".exe","6.8","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-mtmd-cli.exe",".exe","6.8","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-mtmd-debug.exe",".exe","6.76","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-batched-bench.exe",".exe","6.75","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-results.exe",".exe","6.75","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-fit-params.exe",".exe","6.74","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-bench.exe",".exe","3.88","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-template-analysis.exe",".exe","2.97","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama.dll",".dll","2.54","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-cpu-sapphirerapids.dll",".dll","1.56","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-cpu-cannonlake.dll",".dll","1.31","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-cpu-icelake.dll",".dll","1.3","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-cpu-zen4.dll",".dll","1.3","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-cpu-skylakex.dll",".dll","1.3","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-cpu-cooperlake.dll",".dll","1.29","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-cpu-cascadelake.dll",".dll","1.29","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-cpu-alderlake.dll",".dll","1.08","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-cpu-haswell.dll",".dll","1.08","False","True","REVIEW_IGNORE_OR_LFS"
"bin\mtmd.dll",".dll","1.02","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-cpu-ivybridge.dll",".dll","0.98","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-cpu-piledriver.dll",".dll","0.98","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-cpu-sandybridge.dll",".dll","0.96","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-cpu-sse42.dll",".dll","0.81","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-cpu-x64.dll",".dll","0.81","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-base.dll",".dll","0.74","False","True","REVIEW_IGNORE_OR_LFS"
"bin\libomp140.x86_64.dll",".dll","0.61","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Lib\site-packages\numpy.libs\msvcp140-a4c2229bdc2a2a630acdc095b4d86008.dll",".dll","0.55","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-quantize.exe",".exe","0.36","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-tokenize.exe",".exe","0.29","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Scripts\pythonw.exe",".exe","0.24","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Scripts\python.exe",".exe","0.24","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Lib\site-packages\pip\_vendor\distlib\t64-arm.exe",".exe","0.17","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Lib\site-packages\pip\_vendor\distlib\w64-arm.exe",".exe","0.16","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml-rpc.dll",".dll","0.14","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Lib\site-packages\pip\_vendor\distlib\t64.exe",".exe","0.1","False","True","REVIEW_IGNORE_OR_LFS"
"bin\rpc-server.exe",".exe","0.1","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\node_modules\@node-llama-cpp\win-x64\bins\win-x64\ggml-base.dll",".dll","0.1","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Lib\site-packages\pip\_vendor\distlib\w64.exe",".exe","0.1","False","True","REVIEW_IGNORE_OR_LFS"
"bin\ggml.dll",".dll","0.09","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Lib\site-packages\pip\_vendor\distlib\w32.exe",".exe","0.09","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Lib\site-packages\pip\_vendor\distlib\t32.exe",".exe","0.09","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\node_modules\@node-llama-cpp\win-x64-cuda-ext\bins\win-x64-cuda\fallback\ggml-cuda.dll",".dll","0.08","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-gguf-split.exe",".exe","0.06","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Scripts\pip.exe",".exe","0.04","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Scripts\pip3.14.exe",".exe","0.04","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Scripts\pip3.exe",".exe","0.04","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Scripts\imageio_download_bin.exe",".exe","0.04","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Scripts\f2py.exe",".exe","0.04","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Scripts\numpy-config.exe",".exe","0.04","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Scripts\imageio_remove_bin.exe",".exe","0.04","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-gemma3-cli.exe",".exe","0.03","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\node_modules\@node-llama-cpp\win-x64-vulkan\bins\win-x64-vulkan\ggml-base.dll",".dll","0.03","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-qwen2vl-cli.exe",".exe","0.03","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-minicpmv-cli.exe",".exe","0.03","False","True","REVIEW_IGNORE_OR_LFS"
"bin\llama-llava-cli.exe",".exe","0.03","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\node_modules\@node-llama-cpp\win-arm64\bins\win-arm64\ggml-base.dll",".dll","0.02","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\node_modules\@node-llama-cpp\win-x64-cuda\bins\win-x64-cuda\ggml-base.dll",".dll","0.01","False","True","REVIEW_IGNORE_OR_LFS"
"LeeWay-Standards\.venv\Lib\site-packages\_virtualenv.pth",".pth","0","False","True","REVIEW_IGNORE_OR_LFS"
